,cross_val,is_stand,fold,k,weight,metric,acc,f1
0,KFold,True,2,1,uniform,euclidean,0.67578125,0.6415747412094368
1,KFold,True,2,1,uniform,manhattan,0.6848958333333333,0.6460673724931707
2,KFold,True,2,1,distance,euclidean,0.6953125,0.6611189420063426
3,KFold,True,2,1,distance,manhattan,0.6783854166666667,0.634950275476927
4,KFold,True,2,1,mma,euclidean,0.6953125,0.655937817229605
5,KFold,True,2,1,mma,manhattan,0.6848958333333333,0.644671327536041
6,KFold,True,2,2,uniform,euclidean,0.7044270833333333,0.6214314237472014
7,KFold,True,2,2,uniform,manhattan,0.6927083333333333,0.6043516030298455
8,KFold,True,2,2,distance,euclidean,0.7005208333333333,0.6681165053414626
9,KFold,True,2,2,distance,manhattan,0.6875,0.6478116235784044
10,KFold,True,2,2,mma,euclidean,0.7122395833333334,0.6726909883390606
11,KFold,True,2,2,mma,manhattan,0.7096354166666667,0.6796457218254792
12,KFold,True,2,3,uniform,euclidean,0.703125,0.6618152208343762
13,KFold,True,2,3,uniform,manhattan,0.7057291666666667,0.6606073059405839
14,KFold,True,2,3,distance,euclidean,0.7083333333333334,0.6639386376776545
15,KFold,True,2,3,distance,manhattan,0.7057291666666667,0.6581597222222222
16,KFold,True,2,3,mma,euclidean,0.7213541666666666,0.6887465476402845
17,KFold,True,2,3,mma,manhattan,0.70703125,0.6651691962537837
18,KFold,True,2,4,uniform,euclidean,0.6940104166666667,0.6085219912162254
19,KFold,True,2,4,uniform,manhattan,0.7122395833333334,0.6335725374914396
20,KFold,True,2,4,distance,euclidean,0.7408854166666667,0.7034415997081538
21,KFold,True,2,4,distance,manhattan,0.6979166666666667,0.6540055611913103
22,KFold,True,2,4,mma,euclidean,0.73046875,0.6927650724859966
23,KFold,True,2,4,mma,manhattan,0.6953125,0.6498834260508981
24,KFold,True,2,5,uniform,euclidean,0.7083333333333333,0.6614935414511902
25,KFold,True,2,5,uniform,manhattan,0.7213541666666667,0.6805708742739385
26,KFold,True,2,5,distance,euclidean,0.7421875,0.7000169372673886
27,KFold,True,2,5,distance,manhattan,0.72265625,0.6816374284674156
28,KFold,True,2,5,mma,euclidean,0.7239583333333333,0.6790843063874641
29,KFold,True,2,5,mma,manhattan,0.7265625,0.6803592233568465
30,KFold,True,2,6,uniform,euclidean,0.7005208333333334,0.6279005794076401
31,KFold,True,2,6,uniform,manhattan,0.69921875,0.6263734812435306
32,KFold,True,2,6,distance,euclidean,0.73046875,0.69103936607284
33,KFold,True,2,6,distance,manhattan,0.7161458333333333,0.670158752238011
34,KFold,True,2,6,mma,euclidean,0.7096354166666667,0.6641620367651451
35,KFold,True,2,6,mma,manhattan,0.71484375,0.6647381043092075
36,KFold,True,2,7,uniform,euclidean,0.7330729166666667,0.6909109549312976
37,KFold,True,2,7,uniform,manhattan,0.71875,0.6690783705815224
38,KFold,True,2,7,distance,euclidean,0.7565104166666667,0.7129634278438233
39,KFold,True,2,7,distance,manhattan,0.7161458333333333,0.667530604547147
40,KFold,True,2,7,mma,euclidean,0.7408854166666666,0.6972812143032732
41,KFold,True,2,7,mma,manhattan,0.7200520833333333,0.6690797800601722
42,KFold,True,2,8,uniform,euclidean,0.7122395833333333,0.6394390000690343
43,KFold,True,2,8,uniform,manhattan,0.7200520833333333,0.6454321807371926
44,KFold,True,2,8,distance,euclidean,0.7135416666666667,0.6706244942953161
45,KFold,True,2,8,distance,manhattan,0.7278645833333333,0.6817663674385867
