,cross_val,is_stand,fold,k,weight,metric,acc,f1
0,KFold,True,2,1,uniform,euclidean,0.822429906542056,0.7430177411646128
1,KFold,True,2,1,uniform,manhattan,0.8925233644859814,0.8484883130974938
2,KFold,True,2,1,distance,euclidean,0.8177570093457944,0.7488506150413372
3,KFold,True,2,1,distance,manhattan,0.9018691588785046,0.85290899187958
4,KFold,True,2,1,mma,euclidean,0.8364485981308412,0.7486855282858597
5,KFold,True,2,1,mma,manhattan,0.8878504672897196,0.8396084473981955
6,KFold,True,2,2,uniform,euclidean,0.8177570093457944,0.6923526513896534
7,KFold,True,2,2,uniform,manhattan,0.8130841121495327,0.6972152322439911
8,KFold,True,2,2,distance,euclidean,0.8317757009345794,0.7675774180645814
9,KFold,True,2,2,distance,manhattan,0.8644859813084111,0.8021627691330692
10,KFold,True,2,2,mma,euclidean,0.8457943925233644,0.7653701933095572
11,KFold,True,2,2,mma,manhattan,0.8691588785046729,0.8185221534233431
12,KFold,True,2,3,uniform,euclidean,0.8271028037383177,0.7185839026963359
13,KFold,True,2,3,uniform,manhattan,0.8644859813084111,0.7819517131436635
14,KFold,True,2,3,distance,euclidean,0.8551401869158879,0.7843976752491244
15,KFold,True,2,3,distance,manhattan,0.8831775700934579,0.8045925938594947
16,KFold,True,2,3,mma,euclidean,0.8411214953271028,0.7248013209072491
17,KFold,True,2,3,mma,manhattan,0.9065420560747663,0.8546486223763827
18,KFold,True,2,4,uniform,euclidean,0.7850467289719626,0.6346591792962029
19,KFold,True,2,4,uniform,manhattan,0.8457943925233644,0.7563534176403375
20,KFold,True,2,4,distance,euclidean,0.8411214953271028,0.7660878191856453
21,KFold,True,2,4,distance,manhattan,0.8738317757009346,0.7951623542272497
22,KFold,True,2,4,mma,euclidean,0.8130841121495327,0.6552126309829481
23,KFold,True,2,4,mma,manhattan,0.8738317757009346,0.8113978495578251
24,KFold,True,2,5,uniform,euclidean,0.794392523364486,0.6272117608224419
25,KFold,True,2,5,uniform,manhattan,0.8364485981308412,0.7551862111497086
26,KFold,True,2,5,distance,euclidean,0.808411214953271,0.740773931538489
27,KFold,True,2,5,distance,manhattan,0.8738317757009346,0.8138711729968781
28,KFold,True,2,5,mma,euclidean,0.8130841121495327,0.7897046310860593
29,KFold,True,2,5,mma,manhattan,0.8598130841121495,0.7979534760031097
30,KFold,True,2,6,uniform,euclidean,0.7616822429906542,0.5657547140638928
31,KFold,True,2,6,uniform,manhattan,0.8037383177570093,0.6716889952329013
32,KFold,True,2,6,distance,euclidean,0.8037383177570093,0.695563492063492
33,KFold,True,2,6,distance,manhattan,0.822429906542056,0.7001798955897904
34,KFold,True,2,6,mma,euclidean,0.794392523364486,0.6748571008737421
35,KFold,True,2,6,mma,manhattan,0.8551401869158879,0.7769148938148034
36,KFold,True,2,7,uniform,euclidean,0.8037383177570093,0.6905584470778773
37,KFold,True,2,7,uniform,manhattan,0.8177570093457944,0.6388367727903244
38,KFold,True,2,7,distance,euclidean,0.7663551401869159,0.6292061708763648
39,KFold,True,2,7,distance,manhattan,0.8691588785046729,0.7898020464591271
40,KFold,True,2,7,mma,euclidean,0.794392523364486,0.6740166105851797
