,cross_val,is_stand,fold,k,weight,metric,acc,f1
0,KFold,True,2,1,uniform,euclidean,0.949438202247191,0.9511253938520743
1,KFold,True,2,1,uniform,manhattan,0.9438202247191012,0.9467256331874856
2,KFold,True,2,1,distance,euclidean,0.9269662921348314,0.9286116701492519
3,KFold,True,2,1,distance,manhattan,0.9606741573033708,0.9617141025080823
4,KFold,True,2,1,mma,euclidean,0.9606741573033708,0.9609946576670052
5,KFold,True,2,1,mma,manhattan,0.9662921348314607,0.966790722327874
6,KFold,True,2,2,uniform,euclidean,0.9269662921348314,0.9281353776813825
7,KFold,True,2,2,uniform,manhattan,0.9550561797752808,0.9582549407193068
8,KFold,True,2,2,distance,euclidean,0.949438202247191,0.948916425493562
9,KFold,True,2,2,distance,manhattan,0.949438202247191,0.9511405656329756
10,KFold,True,2,2,mma,euclidean,0.9213483146067416,0.9206415918565125
11,KFold,True,2,2,mma,manhattan,0.9550561797752808,0.955791124180569
12,KFold,True,2,3,uniform,euclidean,0.949438202247191,0.9492931162027209
13,KFold,True,2,3,uniform,manhattan,0.9719101123595506,0.9741506818743004
14,KFold,True,2,3,distance,euclidean,0.9606741573033708,0.9618095707419017
15,KFold,True,2,3,distance,manhattan,0.9550561797752809,0.9558084678340845
16,KFold,True,2,3,mma,euclidean,0.949438202247191,0.9491881407747345
17,KFold,True,2,3,mma,manhattan,0.9550561797752809,0.9576210721236512
18,KFold,True,2,4,uniform,euclidean,0.9438202247191011,0.9458656135651573
19,KFold,True,2,4,uniform,manhattan,0.9662921348314607,0.9679934741890649
20,KFold,True,2,4,distance,euclidean,0.9550561797752809,0.9537157270291357
21,KFold,True,2,4,distance,manhattan,0.9662921348314606,0.9638220791930141
22,KFold,True,2,4,mma,euclidean,0.9662921348314607,0.9662811339012711
23,KFold,True,2,4,mma,manhattan,0.9662921348314607,0.9681717719329646
24,KFold,True,2,5,uniform,euclidean,0.9662921348314607,0.9665820867904336
25,KFold,True,2,5,uniform,manhattan,0.9831460674157303,0.9836725545954624
26,KFold,True,2,5,distance,euclidean,0.9550561797752809,0.9530319032607362
27,KFold,True,2,5,distance,manhattan,0.9831460674157303,0.9840666076426712
28,KFold,True,2,5,mma,euclidean,0.9719101123595506,0.9730061686202036
29,KFold,True,2,5,mma,manhattan,0.9662921348314606,0.9680385102839937
30,KFold,True,2,6,uniform,euclidean,0.9438202247191011,0.9445733788684556
31,KFold,True,2,6,uniform,manhattan,0.9775280898876404,0.9793332484508956
